                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                0*mm 0*mm -94.7*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |              140.000*mm 240.000*mm 385.000*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_2_7  |                 BMT  |                BMT_FMTcableCu  |    -226.044647163234*mm -66.3726959118675*mm 0*mm  |       0*deg 0*deg -196.363636111111*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_2_8  |                 BMT  |                BMT_FMTcableCu  |    -218.711973487762*mm -87.5590653607527*mm 0*mm  |       0*deg 0*deg -201.818181666667*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_2_9  |                 BMT  |                BMT_FMTcableCu  |    -209.398610238695*mm -107.952486325528*mm 0*mm  |       0*deg 0*deg -207.272727222222*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_10  |                 BMT  |                BMT_FMTcableCu  |    -198.188900678947*mm -127.368272821102*mm 0*mm  |       0*deg 0*deg -212.727272777778*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_11  |                 BMT  |                BMT_FMTcableCu  |    -185.184361677915*mm -145.630592471854*mm 0*mm  |       0*deg 0*deg -218.181818333333*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_12  |                 BMT  |                BMT_FMTcableCu  |    -170.502764358954*mm -162.574058876917*mm 0*mm  |       0*deg 0*deg -223.636363888889*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_13  |                 BMT  |                BMT_FMTcableCu  |    -154.277067545806*mm -178.045229375086*mm 0*mm  |       0*deg 0*deg -229.090909444444*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_14  |                 BMT  |                BMT_FMTcableCu  |    -136.654213666861*mm -191.903994645375*mm 0*mm  |             0*deg 0*deg -234.545455*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_15  |                 BMT  |                BMT_FMTcableCu  |    -117.793798021719*mm -204.024847558768*mm 0*mm  |       0*deg 0*deg -240.000000555556*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_16  |                 BMT  |                BMT_FMTcableCu  |    -97.8666234613925*mm -214.298019790258*mm 0*mm  |       0*deg 0*deg -245.454546111111*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_2_17  |                 BMT  |                BMT_FMTcableCu  |    -77.0531535711767*mm -222.630475897835*mm 0*mm  |       0*deg 0*deg -250.909091666667*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_1  |                 BMT  |                BMT_FMTcableCu  |     55.5418783644191*mm -228.946755865883*mm 0*mm  |       0*deg 0*deg -283.636362777778*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_2  |                 BMT  |                BMT_FMTcableCu  |     77.0531535711766*mm -222.630475897835*mm 0*mm  |       0*deg 0*deg -289.090908333333*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_3  |                 BMT  |                BMT_FMTcableCu  |     97.8666234613925*mm -214.298019790259*mm 0*mm  |       0*deg 0*deg -294.545453888889*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_4  |                 BMT  |                BMT_FMTcableCu  |     117.793798021719*mm -204.024847558768*mm 0*mm  |       0*deg 0*deg -299.999999444444*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_5  |                 BMT  |                BMT_FMTcableCu  |     136.654213666861*mm -191.903994645375*mm 0*mm  |             0*deg 0*deg -305.454545*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_6  |                 BMT  |                BMT_FMTcableCu  |     154.277067545806*mm -178.045229375086*mm 0*mm  |       0*deg 0*deg -310.909090555556*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_7  |                 BMT  |                BMT_FMTcableCu  |     170.502764358954*mm -162.574058876916*mm 0*mm  |       0*deg 0*deg -316.363636111111*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_8  |                 BMT  |                BMT_FMTcableCu  |     185.184361677915*mm -145.630592471854*mm 0*mm  |       0*deg 0*deg -321.818181666667*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcableCu_3_9  |                 BMT  |                BMT_FMTcableCu  |     198.188900678947*mm -127.368272821102*mm 0*mm  |       0*deg 0*deg -327.272727222222*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_10  |                 BMT  |                BMT_FMTcableCu  |     209.398610238694*mm -107.952486325528*mm 0*mm  |       0*deg 0*deg -332.727272777778*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_11  |                 BMT  |                BMT_FMTcableCu  |     218.711973487762*mm -87.5590653607528*mm 0*mm  |       0*deg 0*deg -338.181818333333*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_12  |                 BMT  |                BMT_FMTcableCu  |     226.044647163234*mm -66.3726959118677*mm 0*mm  |       0*deg 0*deg -343.636363888889*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_13  |                 BMT  |                BMT_FMTcableCu  |     231.330225434354*mm -44.5852450284929*mm 0*mm  |       0*deg 0*deg -349.090909444444*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_14  |                 BMT  |                BMT_FMTcableCu  |     234.520841284038*mm -22.3940232470007*mm 0*mm  |             0*deg 0*deg -354.545455*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_15  |                 BMT  |                BMT_FMTcableCu  |          235.5876*mm 2.28432165505389e-06*mm 0*mm  |       0*deg 0*deg -360.000000555556*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_16  |                 BMT  |                BMT_FMTcableCu  |       234.520840849761*mm 22.394027794957*mm 0*mm  |       0*deg 0*deg -365.454546111111*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcableCu_3_17  |                 BMT  |                BMT_FMTcableCu  |      231.330224569733*mm 44.5852495145748*mm 0*mm  |       0*deg 0*deg -370.909091666667*deg  | 666600   |                 Box  |                                       0.0876*mm 9*mm 379*mm  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_1  |                 BMT  |                BMT_FMTcablePE  |       171.56390637351*mm 163.585849401167*mm 0*mm  |       0*deg 0*deg -43.6363627777778*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_2  |                 BMT  |                BMT_FMTcablePE  |      155.237227821318*mm 179.153306396483*mm 0*mm  |       0*deg 0*deg -49.0909083333333*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_3  |                 BMT  |                BMT_FMTcablePE  |      137.504696842868*mm 193.098323246452*mm 0*mm  |       0*deg 0*deg -54.5454538888889*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_4  |                 BMT  |                BMT_FMTcablePE  |      118.526901990593*mm 205.294611714366*mm 0*mm  |       0*deg 0*deg -59.9999994444444*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_5  |                 BMT  |                BMT_FMTcablePE  |      98.4757091198209*mm 215.631720319132*mm 0*mm  |              0*deg 0*deg -65.454545*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_6  |                 BMT  |                BMT_FMTcablePE  |      77.5327049449141*mm 224.016034601019*mm 0*mm  |       0*deg 0*deg -70.9090905555556*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_7  |                 BMT  |                BMT_FMTcablePE  |      55.8875525618039*mm 230.371624908737*mm 0*mm  |       0*deg 0*deg -76.3636361111111*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_8  |                 BMT  |                BMT_FMTcablePE  |      33.7362738295611*mm 234.640934030141*mm 0*mm  |       0*deg 0*deg -81.8181816666667*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_1_9  |                 BMT  |                BMT_FMTcablePE  |      11.2794741660197*mm 236.785298439278*mm 0*mm  |       0*deg 0*deg -87.2727272222222*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_10  |                 BMT  |                BMT_FMTcablePE  |     -11.2794741660196*mm 236.785298439278*mm 0*mm  |       0*deg 0*deg -92.7272727777778*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_11  |                 BMT  |                BMT_FMTcablePE  |     -33.7362738295611*mm 234.640934030141*mm 0*mm  |       0*deg 0*deg -98.1818183333333*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_12  |                 BMT  |                BMT_FMTcablePE  |     -55.8875525618039*mm 230.371624908737*mm 0*mm  |       0*deg 0*deg -103.636363888889*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_13  |                 BMT  |                BMT_FMTcablePE  |      -77.532704944914*mm 224.016034601019*mm 0*mm  |       0*deg 0*deg -109.090909444444*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_14  |                 BMT  |                BMT_FMTcablePE  |     -98.4757091198209*mm 215.631720319132*mm 0*mm  |             0*deg 0*deg -114.545455*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_15  |                 BMT  |                BMT_FMTcablePE  |     -118.526901990593*mm 205.294611714366*mm 0*mm  |       0*deg 0*deg -120.000000555556*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_16  |                 BMT  |                BMT_FMTcablePE  |     -137.504696842868*mm 193.098323246452*mm 0*mm  |       0*deg 0*deg -125.454546111111*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_1_17  |                 BMT  |                BMT_FMTcablePE  |     -155.237227821318*mm 179.153306396483*mm 0*mm  |       0*deg 0*deg -130.909091666667*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_1  |                 BMT  |                BMT_FMTcablePE  |     -227.451454467821*mm 66.7857765913712*mm 0*mm  |       0*deg 0*deg -163.636362777778*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_2  |                 BMT  |                BMT_FMTcablePE  |     -232.769928421991*mm 44.8627297080924*mm 0*mm  |       0*deg 0*deg -169.090908333333*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_3  |                 BMT  |                BMT_FMTcablePE  |      -235.98040178104*mm 22.5333989823754*mm 0*mm  |       0*deg 0*deg -174.545453888889*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_4  |                 BMT  |                BMT_FMTcablePE  |         -237.0538*mm 2.29853841743218e-06*mm 0*mm  |       0*deg 0*deg -179.999999444444*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_5  |                 BMT  |                BMT_FMTcablePE  |     -235.98040221802*mm -22.5333944061141*mm 0*mm  |             0*deg 0*deg -185.454545*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_6  |                 BMT  |                BMT_FMTcablePE  |    -232.769929291993*mm -44.8627251940905*mm 0*mm  |       0*deg 0*deg -190.909090555556*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_7  |                 BMT  |                BMT_FMTcablePE  |    -227.451455762968*mm -66.7857721805081*mm 0*mm  |       0*deg 0*deg -196.363636111111*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_8  |                 BMT  |                BMT_FMTcablePE  |    -220.073146552591*mm -88.1039968496423*mm 0*mm  |       0*deg 0*deg -201.818181666667*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_2_9  |                 BMT  |                BMT_FMTcablePE  |    -210.701820774105*mm -108.624338050536*mm 0*mm  |       0*deg 0*deg -207.272727222222*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_10  |                 BMT  |                BMT_FMTcablePE  |    -199.422346608085*mm -128.160960388742*mm 0*mm  |       0*deg 0*deg -212.727272777778*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_11  |                 BMT  |                BMT_FMTcablePE  |     -186.33687272303*mm -146.536937180498*mm 0*mm  |       0*deg 0*deg -218.181818333333*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_12  |                 BMT  |                BMT_FMTcablePE  |    -171.563903201164*mm -163.585852728229*mm 0*mm  |       0*deg 0*deg -223.636363888889*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_13  |                 BMT  |                BMT_FMTcablePE  |    -155.237224347079*mm -179.153309406928*mm 0*mm  |       0*deg 0*deg -229.090909444444*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_14  |                 BMT  |                BMT_FMTcablePE  |    -137.504693098199*mm -193.098325913018*mm 0*mm  |             0*deg 0*deg -234.545455*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_15  |                 BMT  |                BMT_FMTcablePE  |    -118.526898009407*mm -205.294614012905*mm 0*mm  |       0*deg 0*deg -240.000000555556*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_16  |                 BMT  |                BMT_FMTcablePE  |    -98.4757049381727*mm -215.631722228827*mm 0*mm  |       0*deg 0*deg -245.454546111111*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_2_17  |                 BMT  |                BMT_FMTcablePE  |    -77.5327006006726*mm -224.016036104575*mm 0*mm  |       0*deg 0*deg -250.909091666667*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_1  |                 BMT  |                BMT_FMTcablePE  |     55.8875480943111*mm -230.371625992539*mm 0*mm  |       0*deg 0*deg -283.636362777778*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_2  |                 BMT  |                BMT_FMTcablePE  |     77.5327006006725*mm -224.016036104576*mm 0*mm  |       0*deg 0*deg -289.090908333333*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_3  |                 BMT  |                BMT_FMTcablePE  |     98.4757049381726*mm -215.631722228827*mm 0*mm  |       0*deg 0*deg -294.545453888889*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_4  |                 BMT  |                BMT_FMTcablePE  |     118.526898009407*mm -205.294614012905*mm 0*mm  |       0*deg 0*deg -299.999999444444*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_5  |                 BMT  |                BMT_FMTcablePE  |     137.504693098199*mm -193.098325913018*mm 0*mm  |             0*deg 0*deg -305.454545*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_6  |                 BMT  |                BMT_FMTcablePE  |     155.237224347079*mm -179.153309406928*mm 0*mm  |       0*deg 0*deg -310.909090555556*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_7  |                 BMT  |                BMT_FMTcablePE  |     171.563903201164*mm -163.585852728228*mm 0*mm  |       0*deg 0*deg -316.363636111111*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_8  |                 BMT  |                BMT_FMTcablePE  |      186.33687272303*mm -146.536937180499*mm 0*mm  |       0*deg 0*deg -321.818181666667*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  BMT_FMTcablePE_3_9  |                 BMT  |                BMT_FMTcablePE  |     199.422346608085*mm -128.160960388742*mm 0*mm  |       0*deg 0*deg -327.272727222222*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_10  |                 BMT  |                BMT_FMTcablePE  |     210.701820774105*mm -108.624338050536*mm 0*mm  |       0*deg 0*deg -332.727272777778*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_11  |                 BMT  |                BMT_FMTcablePE  |     220.073146552591*mm -88.1039968496424*mm 0*mm  |       0*deg 0*deg -338.181818333333*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_12  |                 BMT  |                BMT_FMTcablePE  |     227.451455762968*mm -66.7857721805082*mm 0*mm  |       0*deg 0*deg -343.636363888889*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_13  |                 BMT  |                BMT_FMTcablePE  |     232.769929291993*mm -44.8627251940906*mm 0*mm  |       0*deg 0*deg -349.090909444444*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_14  |                 BMT  |                BMT_FMTcablePE  |      235.98040221802*mm -22.5333944061141*mm 0*mm  |             0*deg 0*deg -354.545455*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_15  |                 BMT  |                BMT_FMTcablePE  |          237.0538*mm 2.29853833034003e-06*mm 0*mm  |       0*deg 0*deg -360.000000555556*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_16  |                 BMT  |                BMT_FMTcablePE  |        235.98040178104*mm 22.533398982375*mm 0*mm  |       0*deg 0*deg -365.454546111111*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 BMT_FMTcablePE_3_17  |                 BMT  |                BMT_FMTcablePE  |      232.769928421991*mm 44.8627297080921*mm 0*mm  |       0*deg 0*deg -370.909091666667*deg  | 6ccecb   |                 Box  |                                       1.0538*mm 9*mm 379*mm  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   BMT_FMTgas_1_18_1  |                 BMT  |                    BMT_FMTgas  |     -167.584309578627*mm 167.584304703797*mm 0*mm  |       0*deg 0*deg -135.000000833333*deg  | 6ccecb   |                Tube  |                          1*mm 2*mm 379*mm 0.0*deg 360.0*deg  |              myPeek  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
